Flight_ID,Date,Route,Aircraft_Type,Passengers,Ticket_Price_USD,Delay_Minutes,Weather_Condition,Maintenance_Status,Customer_Satisfaction_Score
FL00032,2025-08-01,JFK-LHR,Airbus A350,265,741.89,65,Clear,Routine,4
FL00033,2025-01-29,JFK-LHR,Airbus A320,333,1217.37,101,Fog,Routine,4
FL00034,2025-05-27,DXB-LHR,Airbus A380,156,1467.95,10,Rain,Delayed,3
FL00035,2025-10-20,DXB-LHR,Airbus A320,147,588.87,2,Snow,Delayed,1
FL00036,2025-07-24,DEL-SFO,Airbus A320,279,1128.79,26,Rain,Routine,2
FL00037,2025-09-21,SFO-HND,Airbus A380,306,1410.59,0,Rain,Delayed,4
FL00038,2025-02-09,JFK-CDG,Airbus A380,92,1107.86,16,Clear,Routine,3
FL00039,2025-11-06,JFK-CDG,Airbus A380,291,1101.39,7,Fog,Routine,4
FL00040,2025-11-22,DEL-SFO,Airbus A380,91,529.72,16,Clear,Urgent,5
FL00041,2025-12-01,BOM-LHR,Airbus A380,144,918.91,0,Clear,Routine,3
FL00042,2025-07-31,BOM-LHR,Airbus A320,303,953.15,1,Clear,Delayed,4
FL00043,2025-06-07,DEL-SFO,Boeing 787,237,1125.16,0,Clear,Routine,2
FL00044,2025-04-25,BOM-LHR,Boeing 787,356,1496.03,24,Clear,Cleared,1
FL00045,2025-07-07,DXB-LHR,Boeing 777,216,292.05,20,Clear,Routine,5
FL00046,2025-07-10,JFK-CDG,Boeing 787,320,331.54,6,Rain,Routine,4
FL00047,2025-06-09,DEL-SFO,Boeing 787,174,347.44,26,Clear,Cleared,3
FL00048,2025-07-23,JFK-CDG,Airbus A320,210,1178.72,53,Clear,Cleared,3
FL00049,2025-12-11,JFK-LHR,Airbus A380,136,420.44,8,Fog,Routine,4
FL00050,2025-01-24,DXB-LHR,Airbus A380,358,1028.06,44,Clear,Routine,2
FL00051,2025-10-21,SIN-SYD,Airbus A320,275,655.84,27,Clear,Cleared,4
FL00052,2025-09-23,DXB-LHR,Boeing 787,194,821.65,0,Snow,Cleared,4
FL00053,2025-12-09,DEL-SFO,Airbus A320,394,519.58,11,Clear,Routine,3
FL00054,2025-05-06,SIN-SYD,Boeing 777,297,1332.63,17,Clear,Routine,5
FL00055,2025-01-03,JFK-LHR,Airbus A380,55,982.69,32,Clear,Routine,1
FL00056,2025-01-23,DEL-SFO,Airbus A350,80,1430.7,8,Clear,Routine,2
FL00057,2025-08-03,SFO-HND,Boeing 777,246,968.25,101,Clear,Routine,3
FL00058,2025-11-21,JFK-CDG,Boeing 777,281,404.89,28,Clear,Routine,4
FL00059,2025-12-20,JFK-LHR,Airbus A320,345,463.59,11,Clear,Cleared,2
FL00060,2025-12-02,JFK-CDG,Boeing 787,374,1486.34,2,Clear,Routine,3
FL00061,2025-06-01,BOM-LHR,Airbus A380,184,1156.96,5,Fog,Cleared,4
FL00062,2025-02-12,SFO-HND,Airbus A350,62,311.6,16,Clear,Urgent,2
FL00063,2025-12-13,SFO-HND,Boeing 777,53,1129.73,17,Fog,Urgent,4
FL00064,2025-12-10,JFK-LHR,Airbus A350,227,765.22,36,Clear,Routine,3
FL00065,2025-12-04,SFO-HND,Boeing 787,283,634.01,32,Rain,Routine,2
FL00066,2025-08-21,SIN-SYD,Boeing 787,308,442.58,5,Clear,Routine,3
FL00067,2025-02-28,SFO-HND,Airbus A350,189,1299.88,22,Clear,Cleared,4
FL00068,2025-08-12,JFK-CDG,Airbus A380,114,329.8,0,Clear,Routine,2
FL00069,2025-07-10,JFK-CDG,Boeing 787,332,612.29,12,Fog,Routine,1
FL00070,2025-01-22,DEL-SFO,Airbus A350,355,632.98,36,Clear,Routine,4
FL00071,2025-01-22,JFK-CDG,Boeing 777,254,451.13,12,Clear,Routine,2
FL00072,2025-12-17,DEL-SFO,Airbus A350,66,885.23,45,Clear,Cleared,1
FL00073,2025-02-06,JFK-CDG,Airbus A350,249,264.63,93,Clear,Routine,1
FL00074,2025-10-16,SIN-SYD,Airbus A320,81,626.22,23,Rain,Routine,5
FL00075,2025-09-13,DEL-SFO,Boeing 787,261,1417.04,3,Rain,Routine,5
FL00076,2025-11-23,DXB-LHR,Airbus A380,322,638.16,11,Clear,Urgent,2
FL00077,2025-05-06,BOM-LHR,Airbus A380,339,700.57,0,Clear,Routine,2
FL00078,2025-03-07,JFK-LHR,Airbus A320,340,841.46,23,Clear,Cleared,5
FL00079,2025-12-07,JFK-CDG,Airbus A380,283,952.12,43,Fog,Routine,4
FL00080,2025-07-24,SFO-HND,Airbus A350,231,1260.89,24,Clear,Routine,5
FL00081,2025-01-02,JFK-CDG,Airbus A320,195,487.9,38,Clear,Routine,5
FL00082,2025-04-11,SFO-HND,Boeing 777,99,1339.68,40,Clear,Routine,5
FL00083,2025-04-27,BOM-LHR,Boeing 787,152,1196.94,47,Clear,Routine,3
FL00084,2025-01-11,BOM-LHR,Boeing 787,82,1153.31,7,Snow,Routine,3
FL00085,2025-01-27,BOM-LHR,Boeing 787,138,358.51,51,Clear,Routine,3
FL00086,2025-06-04,SFO-HND,Airbus A350,390,277.05,26,Rain,Routine,4
FL00087,2025-07-23,JFK-CDG,Boeing 777,364,992.52,8,Clear,Routine,3
FL00088,2025-11-20,BOM-LHR,Airbus A320,290,1328.92,109,Rain,Routine,2
FL00089,2025-03-01,SIN-SYD,Airbus A320,315,980.55,74,Clear,Routine,1
FL00090,2025-09-26,DEL-SFO,Boeing 787,272,516.54,21,Fog,Routine,5
FL00091,2025-10-19,SFO-HND,Boeing 777,285,363.15,46,Clear,Routine,2
FL00092,2025-05-16,SFO-HND,Boeing 777,202,1124.5,7,Rain,Routine,2
FL00093,2025-08-10,JFK-CDG,Boeing 777,106,1152.21,13,Snow,Routine,1
FL00094,2025-03-12,SFO-HND,Airbus A380,371,465.66,5,Clear,Routine,1
FL00095,2025-12-25,SFO-HND,Airbus A380,161,285.24,18,Clear,Routine,4
FL00096,2025-09-03,BOM-LHR,Boeing 787,64,760.35,17,Fog,Routine,2
FL00097,2025-09-30,JFK-CDG,Boeing 777,318,978.4,5,Clear,Cleared,2
FL00098,2025-09-18,BOM-LHR,Boeing 777,163,1132.5,27,Fog,Cleared,1
FL00099,2025-10-07,DEL-SFO,Airbus A320,301,1262.43,3,Clear,Routine,1
FL00100,2025-09-27,DEL-SFO,Airbus A320,191,1013.17,1,Clear,Routine,5
FL00101,2025-08-16,BOM-LHR,Boeing 787,163,388.6,12,Clear,Routine,2
FL00102,2025-03-15,DEL-SFO,Boeing 777,339,1103.23,13,Clear,Routine,4
FL00103,2025-06-13,JFK-CDG,Boeing 787,74,1480.22,9,Clear,Routine,2
FL00104,2025-05-11,JFK-LHR,Airbus A320,359,1381.98,7,Clear,Routine,5
FL00105,2025-05-02,BOM-LHR,Airbus A320,304,1339.59,10,Fog,Routine,2
FL00106,2025-04-06,SIN-SYD,Airbus A380,317,627.71,4,Snow,Routine,1
FL00107,2025-04-08,SIN-SYD,Boeing 787,175,1188.49,12,Clear,Routine,1
FL00108,2025-05-07,SFO-HND,Boeing 787,299,1313.88,58,Clear,Urgent,5
FL00109,2025-09-12,DEL-SFO,Boeing 777,336,1097.91,6,Rain,Routine,5
FL00110,2025-12-10,SIN-SYD,Boeing 777,383,563.2,28,Clear,Routine,1
FL00111,2025-11-11,SFO-HND,Airbus A380,102,1442.29,3,Storm,Routine,1
FL00112,2025-07-22,JFK-LHR,Airbus A350,92,813.52,10,Clear,Routine,2
FL00113,2025-06-14,JFK-CDG,Airbus A350,215,412.26,9,Rain,Routine,5
FL00114,2025-01-29,JFK-CDG,Airbus A350,91,387.22,69,Clear,Routine,1
FL00115,2025-06-05,JFK-CDG,Boeing 787,225,1059.4,13,Rain,Routine,1
FL00116,2025-05-21,SIN-SYD,Boeing 787,116,797.14,29,Clear,Routine,4
FL00117,2025-01-23,JFK-LHR,Airbus A320,115,368.1,23,Clear,Routine,5
FL00118,2025-08-24,SIN-SYD,Boeing 787,132,1175.46,3,Clear,Cleared,2
FL00119,2025-09-05,DEL-SFO,Boeing 787,399,1249.16,70,Clear,Routine,4
FL00120,2025-04-07,SIN-SYD,Boeing 787,154,1156.77,10,Clear,Routine,4
FL00121,2025-09-24,JFK-LHR,Airbus A380,336,502.83,1,Snow,Delayed,2
FL00122,2025-06-04,JFK-LHR,Boeing 787,235,1112.22,8,Clear,Routine,1
FL00123,2025-10-11,DEL-SFO,Boeing 777,333,263.4,10,Clear,Routine,4
FL00124,2025-01-17,JFK-LHR,Boeing 777,53,631.39,2,Clear,Routine,3
FL00125,2025-06-01,JFK-LHR,Airbus A320,187,748.53,24,Rain,Routine,2
FL00126,2025-12-03,JFK-CDG,Airbus A380,228,1294.06,10,Storm,Routine,3
FL00127,2025-02-09,DEL-SFO,Boeing 777,286,737.99,24,Snow,Routine,2
FL00128,2025-05-03,DXB-LHR,Airbus A380,67,264.09,0,Fog,Routine,4
FL00129,2025-06-15,DXB-LHR,Airbus A380,352,690.43,100,Fog,Routine,2
FL00130,2025-02-10,JFK-LHR,Airbus A320,58,873.66,4,Snow,Delayed,1
FL00131,2025-09-20,DXB-LHR,Airbus A380,78,1436.26,26,Clear,Routine,2
FL00132,2025-11-16,DXB-LHR,Boeing 787,193,1426.29,31,Clear,Routine,2
FL00133,2025-08-27,JFK-LHR,Airbus A380,397,476.09,4,Clear,Delayed,2
FL00134,2025-05-31,DXB-LHR,Airbus A320,198,481.43,2,Fog,Routine,2
FL00135,2025-03-03,SIN-SYD,Airbus A320,113,454.23,4,Clear,Delayed,3
FL00136,2025-06-14,SFO-HND,Airbus A320,236,1236.15,7,Clear,Delayed,2
FL00137,2025-07-30,DEL-SFO,Boeing 777,276,257.53,4,Fog,Cleared,4
FL00138,2025-08-23,SFO-HND,Boeing 787,167,408.97,28,Clear,Routine,4
FL00139,2025-01-11,JFK-LHR,Boeing 777,303,922.45,13,Rain,Routine,2
FL00140,2025-01-07,JFK-CDG,Airbus A350,80,559.45,19,Snow,Delayed,3
FL00141,2025-04-03,DEL-SFO,Boeing 787,210,365.45,1,Storm,Routine,1
FL00142,2025-05-13,JFK-LHR,Airbus A380,264,699.85,49,Storm,Routine,3
FL00143,2025-02-11,JFK-CDG,Airbus A320,218,592.76,4,Storm,Routine,4
FL00144,2025-10-19,SFO-HND,Airbus A350,130,888.88,11,Rain,Delayed,1
FL00145,2025-02-06,JFK-LHR,Boeing 787,95,1474.04,1,Clear,Routine,4
FL00146,2025-09-15,DEL-SFO,Boeing 777,98,405.38,3,Rain,Routine,4
FL00147,2025-11-02,DEL-SFO,Airbus A320,347,715.91,27,Storm,Routine,1
FL00148,2025-04-22,BOM-LHR,Boeing 777,332,1414.98,29,Clear,Routine,5
FL00149,2025-08-05,SIN-SYD,Boeing 787,137,1346.09,28,Clear,Routine,1
FL00150,2025-02-05,DXB-LHR,Boeing 787,170,742.84,20,Clear,Routine,4
FL00151,2025-07-12,JFK-CDG,Airbus A350,52,1123.69,76,Clear,Routine,1
FL00152,2025-05-17,BOM-LHR,Airbus A380,365,359.82,17,Clear,Routine,5
FL00153,2025-02-08,DXB-LHR,Boeing 777,276,1140.68,14,Snow,Routine,3
FL00154,2025-12-26,DXB-LHR,Airbus A350,128,1466.07,7,Clear,Routine,2
FL00155,2025-03-27,JFK-LHR,Airbus A320,194,921.86,2,Clear,Cleared,2
FL00156,2025-04-29,DXB-LHR,Airbus A380,291,873.11,19,Clear,Routine,5
FL00157,2025-09-06,SIN-SYD,Airbus A350,81,484.15,9,Clear,Delayed,4
FL00158,2025-05-15,DEL-SFO,Boeing 777,312,1042.24,18,Clear,Cleared,3
FL00159,2025-11-22,BOM-LHR,Boeing 787,260,988.05,5,Clear,Routine,2
FL00160,2025-01-22,DXB-LHR,Airbus A320,120,1064.92,45,Fog,Routine,1
FL00161,2025-02-17,JFK-LHR,Boeing 777,246,282.6,202,Storm,Cleared,1
FL00162,2025-07-10,SIN-SYD,Airbus A380,107,935.9,9,Fog,Routine,1
FL00163,2025-11-11,SFO-HND,Airbus A380,161,993.67,46,Clear,Cleared,5
FL00164,2025-05-19,DEL-SFO,Boeing 787,97,509.41,51,Fog,Routine,2
FL00165,2025-11-26,DEL-SFO,Boeing 787,234,510.42,138,Snow,Delayed,1
FL00166,2025-11-09,BOM-LHR,Airbus A320,376,595.27,10,Fog,Urgent,5
FL00167,2025-05-30,DEL-SFO,Airbus A320,214,1139.65,35,Clear,Delayed,2
FL00168,2025-06-27,DXB-LHR,Boeing 787,264,1007.83,6,Clear,Routine,3
FL00169,2025-06-06,JFK-LHR,Boeing 787,380,1307.2,24,Clear,Routine,3
FL00170,2025-10-17,DEL-SFO,Airbus A380,379,619.57,30,Fog,Delayed,5
FL00171,2025-03-06,DEL-SFO,Boeing 787,170,1390.09,33,Rain,Delayed,4
FL00172,2025-09-29,SFO-HND,Airbus A350,262,1179.63,5,Clear,Routine,2
FL00173,2025-05-22,SFO-HND,Boeing 777,360,743.76,47,Clear,Routine,3
FL00174,2025-05-23,JFK-CDG,Boeing 787,90,369.08,13,Storm,Routine,1
FL00175,2025-05-30,SIN-SYD,Airbus A320,338,571.23,6,Fog,Routine,2
FL00176,2025-04-19,DXB-LHR,Airbus A350,217,1445.96,19,Rain,Routine,3
FL00177,2025-04-26,DEL-SFO,Airbus A320,83,637.95,49,Snow,Routine,2
FL00178,2025-08-10,DEL-SFO,Airbus A350,367,662.38,85,Clear,Urgent,2
FL00179,2025-04-21,JFK-LHR,Boeing 787,324,486.99,34,Clear,Routine,4
FL00180,2025-08-20,JFK-CDG,Boeing 777,246,1258.56,0,Fog,Routine,5
FL00181,2025-07-07,SIN-SYD,Airbus A320,240,594.56,3,Snow,Delayed,3
FL00182,2025-07-25,JFK-CDG,Airbus A350,270,662.82,1,Rain,Routine,1
FL00183,2025-02-10,BOM-LHR,Airbus A380,59,767.94,2,Clear,Routine,1
FL00184,2025-03-09,SIN-SYD,Boeing 787,169,792.16,12,Clear,Cleared,5
FL00185,2025-05-30,DEL-SFO,Boeing 777,172,764.18,10,Clear,Delayed,5
FL00186,2025-11-17,DEL-SFO,Boeing 787,296,879.68,3,Clear,Routine,3
FL00187,2025-03-24,SIN-SYD,Airbus A380,270,1268.14,53,Clear,Delayed,1
FL00188,2025-02-04,DEL-SFO,Boeing 777,310,1274.11,23,Fog,Delayed,3
FL00189,2025-05-20,DXB-LHR,Airbus A380,107,1247.89,39,Rain,Delayed,5
FL00190,2025-01-06,SIN-SYD,Boeing 787,364,376.41,11,Clear,Routine,1
FL00191,2025-06-19,JFK-CDG,Airbus A350,177,1249.6,13,Clear,Routine,3
FL00192,2025-12-18,SIN-SYD,Boeing 787,236,400.31,9,Storm,Routine,1
FL00193,2025-01-11,DEL-SFO,Boeing 787,254,405.9,14,Clear,Routine,2
FL00194,2025-05-11,DXB-LHR,Boeing 787,135,1434.83,23,Rain,Routine,3
FL00195,2025-07-01,DXB-LHR,Airbus A320,153,1274.25,16,Clear,Routine,4
FL00196,2025-12-23,BOM-LHR,Airbus A380,192,940.51,45,Clear,Routine,3
FL00197,2025-01-06,JFK-CDG,Airbus A380,254,1343.71,57,Clear,Routine,1
FL00198,2025-05-21,SFO-HND,Airbus A380,178,1486.71,15,Clear,Routine,5
FL00199,2025-03-30,SFO-HND,Airbus A320,295,1013.3,6,Clear,Delayed,3
FL00200,2025-04-20,SIN-SYD,Airbus A350,87,1016.12,72,Rain,Routine,1
FL00201,2025-08-03,BOM-LHR,Boeing 787,158,1193.03,33,Rain,Routine,1
FL00202,2025-05-14,JFK-LHR,Airbus A350,358,540.17,25,Fog,Delayed,2
FL00203,2025-03-24,SIN-SYD,Airbus A320,101,458.91,34,Fog,Routine,3
FL00204,2025-02-16,BOM-LHR,Airbus A380,50,1199.48,1,Clear,Routine,4
FL00205,2025-06-16,JFK-CDG,Boeing 787,60,681.13,1,Clear,Routine,4
FL00206,2025-06-27,JFK-CDG,Boeing 777,363,418.84,4,Rain,Routine,5
FL00207,2025-12-29,JFK-CDG,Boeing 777,284,643.6,3,Clear,Routine,5
FL00208,2025-02-10,JFK-CDG,Airbus A350,177,698.3,13,Fog,Cleared,2
FL00209,2025-04-03,JFK-CDG,Airbus A380,263,1456.53,4,Clear,Routine,3
FL00210,2025-11-28,BOM-LHR,Boeing 777,292,1122.45,48,Fog,Routine,5
FL00211,2025-12-16,BOM-LHR,Airbus A350,93,913.57,21,Fog,Routine,3
FL00212,2025-07-27,DXB-LHR,Airbus A320,55,1461.09,11,Clear,Routine,4
FL00213,2025-01-26,SFO-HND,Airbus A350,205,1378.92,1,Clear,Routine,1
FL00214,2025-06-27,DEL-SFO,Airbus A350,57,890.0,22,Clear,Urgent,4
FL00215,2025-09-03,JFK-CDG,Airbus A350,54,1382.1,3,Clear,Routine,2
FL00216,2025-04-17,JFK-LHR,Boeing 787,231,755.38,33,Snow,Routine,2
FL00217,2025-10-13,DEL-SFO,Airbus A350,161,538.03,40,Clear,Delayed,1
FL00218,2025-04-03,BOM-LHR,Airbus A350,322,540.85,19,Clear,Routine,1
FL00219,2025-08-24,JFK-LHR,Boeing 787,314,1077.89,4,Fog,Routine,2
FL00220,2025-01-14,JFK-LHR,Boeing 787,261,876.34,38,Fog,Routine,1
FL00221,2025-01-08,JFK-LHR,Airbus A320,127,1073.69,9,Clear,Cleared,3
FL00222,2025-11-06,DXB-LHR,Airbus A380,319,1107.59,6,Fog,Routine,4
FL00223,2025-09-15,BOM-LHR,Boeing 777,203,277.9,15,Clear,Cleared,3
FL00224,2025-01-28,JFK-LHR,Boeing 777,270,317.55,63,Storm,Routine,3
FL00225,2025-01-22,JFK-CDG,Airbus A350,396,915.85,8,Clear,Routine,1
FL00226,2025-11-12,SIN-SYD,Airbus A320,74,488.79,58,Fog,Urgent,1
FL00227,2025-10-11,JFK-LHR,Airbus A350,257,1040.67,1,Rain,Routine,3
FL00228,2025-10-24,DXB-LHR,Boeing 777,52,940.23,2,Clear,Routine,2
FL00229,2025-06-22,DEL-SFO,Boeing 787,264,982.2,29,Clear,Routine,3
FL00230,2025-11-20,BOM-LHR,Airbus A380,161,628.07,5,Clear,Routine,4
FL00231,2025-06-24,DXB-LHR,Airbus A320,241,1049.8,9,Rain,Routine,2
FL00232,2025-04-17,JFK-LHR,Boeing 787,96,1286.87,3,Fog,Routine,1
FL00233,2025-06-17,BOM-LHR,Airbus A380,270,1497.59,10,Snow,Routine,1
FL00234,2025-06-01,SIN-SYD,Airbus A320,236,1298.06,8,Storm,Cleared,1
FL00235,2025-03-21,JFK-LHR,Airbus A320,99,946.87,33,Snow,Routine,1
FL00236,2025-02-09,DXB-LHR,Boeing 777,246,491.79,30,Fog,Routine,2
FL00237,2025-04-08,SFO-HND,Boeing 787,265,1101.81,77,Snow,Routine,1
FL00238,2025-05-25,JFK-CDG,Airbus A320,270,1422.07,32,Clear,Urgent,1
FL00239,2025-01-01,DEL-SFO,Airbus A320,139,514.83,29,Snow,Routine,1
FL00240,2025-06-29,DXB-LHR,Airbus A380,281,569.99,29,Clear,Routine,1
FL00241,2025-05-02,BOM-LHR,Boeing 777,372,436.26,53,Fog,Cleared,1
FL00242,2025-05-18,JFK-LHR,Airbus A350,307,1170.9,8,Clear,Routine,3
FL00243,2025-03-27,JFK-CDG,Boeing 777,202,758.2,8,Clear,Routine,3
FL00244,2025-03-30,JFK-LHR,Airbus A350,305,328.37,33,Clear,Routine,3
FL00245,2025-09-16,BOM-LHR,Boeing 787,307,1343.69,6,Rain,Routine,2
FL00246,2025-01-03,JFK-LHR,Boeing 787,114,947.09,60,Clear,Routine,1
FL00247,2025-12-24,SFO-HND,Airbus A320,239,663.87,19,Fog,Cleared,3
FL00248,2025-06-12,JFK-CDG,Boeing 787,140,679.98,8,Clear,Routine,2
FL00249,2025-07-02,JFK-CDG,Airbus A320,222,612.81,37,Clear,Routine,4
FL00250,2025-02-21,BOM-LHR,Boeing 777,296,819.35,9,Clear,Routine,5
FL00251,2025-07-11,DEL-SFO,Boeing 787,305,671.3,82,Clear,Routine,3
FL00252,2025-06-05,SFO-HND,Boeing 777,165,934.93,101,Clear,Routine,3
FL00253,2025-09-21,DXB-LHR,Boeing 777,98,1216.9,27,Clear,Delayed,5
FL00254,2025-03-26,JFK-LHR,Boeing 787,276,1093.08,3,Clear,Cleared,2
FL00255,2025-09-14,SIN-SYD,Boeing 777,118,618.07,7,Clear,Routine,5
FL00256,2025-07-28,JFK-LHR,Boeing 787,175,910.93,18,Clear,Routine,2
FL00257,2025-04-18,JFK-LHR,Boeing 787,262,1300.16,47,Snow,Routine,3
FL00258,2025-11-25,DXB-LHR,Boeing 787,102,335.26,5,Clear,Cleared,5
FL00259,2025-11-25,JFK-LHR,Airbus A350,161,347.87,2,Clear,Routine,4
FL00260,2025-11-07,SFO-HND,Boeing 777,208,945.21,1,Clear,Routine,5
FL00261,2025-06-13,SFO-HND,Airbus A380,289,1048.89,17,Clear,Routine,5
FL00262,2025-03-31,JFK-CDG,Boeing 787,199,514.27,54,Clear,Cleared,1
FL00263,2025-03-29,BOM-LHR,Boeing 777,188,1181.53,1,Rain,Routine,3
FL00264,2025-07-08,DEL-SFO,Airbus A320,162,1057.83,5,Fog,Routine,3
FL00265,2025-07-02,SIN-SYD,Boeing 787,192,1404.11,29,Clear,Delayed,4
FL00266,2025-08-11,JFK-LHR,Boeing 787,187,461.19,43,Clear,Routine,4
FL00267,2025-10-23,JFK-LHR,Airbus A380,353,1189.22,41,Clear,Routine,4
FL00268,2025-12-13,DXB-LHR,Airbus A350,80,354.55,38,Clear,Routine,1
FL00269,2025-10-04,BOM-LHR,Airbus A350,342,956.62,3,Clear,Routine,1
FL00270,2025-12-12,SFO-HND,Boeing 787,157,939.87,12,Clear,Routine,4
FL00271,2025-04-29,SIN-SYD,Boeing 777,333,735.48,104,Fog,Routine,1
FL00272,2025-08-25,JFK-CDG,Airbus A320,208,1305.71,112,Clear,Urgent,4
FL00273,2025-10-06,SFO-HND,Airbus A320,375,255.46,23,Clear,Cleared,5
FL00274,2025-11-21,BOM-LHR,Boeing 777,63,900.22,30,Snow,Delayed,4
FL00275,2025-09-24,DEL-SFO,Boeing 787,171,521.44,75,Clear,Delayed,2
FL00276,2025-05-16,JFK-CDG,Airbus A320,264,1179.37,14,Clear,Routine,5
FL00277,2025-08-03,DEL-SFO,Airbus A350,321,303.83,3,Rain,Routine,3
FL00278,2025-07-06,DXB-LHR,Boeing 777,74,1289.44,27,Clear,Routine,5
FL00279,2025-07-01,DXB-LHR,Airbus A380,371,1297.62,80,Storm,Routine,2
FL00280,2025-06-13,JFK-LHR,Boeing 787,343,1291.08,29,Clear,Routine,3
FL00281,2025-03-10,DEL-SFO,Boeing 777,218,440.71,40,Clear,Delayed,1
FL00282,2025-04-06,BOM-LHR,Airbus A320,152,1038.01,13,Rain,Routine,3
FL00283,2025-11-12,SIN-SYD,Boeing 787,89,267.96,2,Clear,Routine,2
FL00284,2025-10-01,JFK-CDG,Airbus A350,284,1309.95,4,Clear,Delayed,3
FL00285,2025-06-06,SFO-HND,Boeing 787,369,1153.72,101,Clear,Cleared,4
FL00286,2025-05-06,BOM-LHR,Boeing 787,138,913.94,16,Fog,Routine,5
FL00287,2025-11-27,BOM-LHR,Airbus A350,149,1163.24,0,Rain,Routine,5
FL00288,2025-05-17,DXB-LHR,Airbus A350,193,367.91,77,Clear,Routine,1
FL00289,2025-04-16,DEL-SFO,Boeing 787,131,910.82,17,Rain,Cleared,4
FL00290,2025-12-01,JFK-LHR,Airbus A350,126,614.1,45,Rain,Routine,3
FL00291,2025-03-21,JFK-LHR,Boeing 777,108,1465.77,19,Fog,Urgent,1
FL00292,2025-09-26,JFK-CDG,Airbus A350,278,1321.4,2,Clear,Cleared,2
FL00293,2025-12-08,DXB-LHR,Airbus A350,140,1166.59,23,Fog,Delayed,3
FL00294,2025-04-02,BOM-LHR,Boeing 787,50,1417.18,148,Clear,Delayed,4
FL00295,2025-11-10,SIN-SYD,Boeing 777,318,683.55,0,Fog,Routine,1
FL00296,2025-08-08,DXB-LHR,Airbus A380,335,1376.1,46,Clear,Cleared,1
FL00297,2025-07-25,JFK-CDG,Airbus A380,246,656.55,6,Clear,Delayed,3
FL00298,2025-02-08,JFK-CDG,Airbus A320,323,1166.0,12,Storm,Routine,1
FL00299,2025-12-26,DXB-LHR,Airbus A350,127,1170.52,11,Storm,Routine,1
FL00300,2025-01-09,JFK-CDG,Airbus A350,190,272.94,57,Clear,Routine,1
FL00301,2025-12-23,DXB-LHR,Boeing 777,337,701.32,17,Clear,Delayed,3
FL00302,2025-03-08,SFO-HND,Airbus A380,120,274.29,14,Clear,Urgent,5
FL00303,2025-05-16,DXB-LHR,Airbus A320,99,1496.37,42,Clear,Delayed,1
